Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 5, precio: 3.45 euros,  tipo de producto: Flor, color: rojo

Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 5, precio: 2.33 euros,  tipo de producto: Arbol, altura: 2.0

Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 5, precio: 3.3 euros,  tipo de producto: Arbol, altura: 3.4

Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 5, precio: 3.3 euros,  tipo de producto: Arbol, altura: 3.4

Producto id: 6, precio: 4.0 euros,  tipo de producto: Flor, color: rojo

Producto id: 0, precio: 40.0 euros,  tipo de producto: Arbol, altura: 1.11

Producto id: 1, precio: 45.0 euros,  tipo de producto: Arbol, altura: 1.29

Producto id: 2, precio: 49.0 euros,  tipo de producto: Arbol, altura: 1.34

Producto id: 3, precio: 12.0 euros,  tipo de producto: Flor, color: rosa

Producto id: 4, precio: 13.0 euros,  tipo de producto: Decoracion, material: plastico

Producto id: 5, precio: 2.0 euros,  tipo de producto: Arbol, altura: 2.0

